Id,name,community,gender,in-Degree,Excentricity,Closness Centrality,Harmonic Closness Centrality,Betweenness Centrality,Eigenvector Centrality,Clustering Coefficient
fudge89,Kathryn Fudge,handball,Female,11,2.0,0.7777777777777778,0.8571428571428571,29.199999999999992,0.3612227741163638,0.3636363744735718
johnnailspearce,John Pearce,handball,Male,11,2.0,0.7777777777777778,0.8571428571428571,9.4,0.3473203360969381,0.3909091055393219
hollyhandball3,Holly Lam-Moores,handball,Female,11,3.0,0.7,0.8333333333333333,12.133333333333331,0.30920517576048984,0.30000001192092896
bethstorry,Beth Storry,hockey,Female,11,4.0,0.48,0.6388888888888888,16.63225108225108,0.3766848266684164,0.37272727489471436
paulwycherley,Paul wycherley,canoeing,Male,11,3.0,0.5454545454545454,0.6666666666666666,14.25079365079365,0.32892433989373054,0.27272728085517883
roberto_pavoni,Roberto Pavoni,swimming,Male,11,6.0,0.3484848484848485,0.48260869565217396,230.5638888888891,0.42674545263465324,0.280303031206131
jemmasimpson,Jemma Simpson,athletics,Female,11,6.0,0.35106382978723405,0.45606060606060606,249.79217171717198,0.166708547347038,0.1794871836900711
danny_price,Danny Price,boxing,Male,11,4.0,0.4583333333333333,0.6363636363636362,154.3333333333333,0.37035376783851215,0.290909081697464
callumsmith23,Callum Smith,boxing,Male,11,3.0,0.5789473684210527,0.696969696969697,17.35,0.4292541750896935,0.3636363744735718
markhuntergb,Mark Hunter,rowing,Male,11,2.0,0.6470588235294118,0.7272727272727273,17.324603174603173,0.20172257415136244,0.17424242198467255
adamdixon16,Adam Dixon,hockey,Male,11,3.0,0.6,0.6944444444444443,23.70714285714286,0.27981727731906925,0.20454545319080353
jempin515,Jennifer McIlveen,gymnastics,Female,11,8.0,0.2356020942408377,0.3394179894179893,242.0515184488715,0.27381629227155085,0.3181818127632141
caitmcclatchey,Caitlin McClatchey,swimming,Female,11,5.0,0.35384615384615387,0.48405797101449266,104.10887445887447,0.4537026783696519,0.27272728085517883
bcreports,bcreports,cycling,Organization,10,4.0,0.47619047619047616,0.5708333333333333,57.346031746031734,0.25826578124980293,0.19090908765792847
angiewsmith10,Angie Smith,waterpolo,Female,10,6.0,0.3333333333333333,0.5037037037037035,33.845238095238095,0.28154490166495716,0.3636363744735718
nickwoodbridge,Nick Woodbridge,pentathlon,Male,10,2.0,0.6923076923076923,0.7777777777777778,38.16944444444443,0.3003049385008995,0.41111111640930176
jontyclarke,Jonty Clarke,hockey,Male,10,3.0,0.5714285714285714,0.6805555555555555,31.069047619047616,0.2107144565625777,0.16363635659217834
gabbywhite011,Gabby White,badminton,Female,10,2.0,0.6923076923076923,0.7777777777777778,8.825,0.2733805985460042,0.4000000059604645
gemmaspofforth,Gemma Spofforth,swimming,Female,10,6.0,0.359375,0.4985507246376811,284.8884920634921,0.1935633854796268,0.1666666716337204
danusiafrancis,Danusia Francis,gymnastics,Female,10,8.0,0.234375,0.34015873015873005,404.78298578872113,0.24204029385897857,0.2777777910232544
katiec_23,Katie Clark,swimming-sync,Female,10,2.0,0.7272727272727273,0.8125,205.96125541125528,0.3367599542698052,0.3333333432674408
aliwilson17,Ali Wilson,hockey,Female,10,3.0,0.6,0.6944444444444443,12.495238095238093,0.4101247628232109,0.31111112236976624
bigyin78,Sarah adlington,judo,Female,10,14.0,0.1191553544494721,0.1568911398025321,12.516666666666667,0.2994191363653036,0.3888888955116272
gbhandball_mh20,Mark Hawkins,handball,Male,9,2.0,0.7777777777777778,0.8571428571428571,69.24523809523811,0.31788668572620615,0.2916666567325592
rgallantree,Rebecca Gallantree,diving,Female,9,4.0,0.45,0.5648148148148148,112.33163878163873,0.20968162298616946,0.2361111044883728
toniacouch,Tonia Couch,diving,Female,9,4.0,0.43902439024390244,0.5555555555555556,105.16237471237464,0.24483990591224566,0.31111112236976624
laurencehalsted,Laurence Halsted,fencing,Male,9,4.0,0.5172413793103449,0.6277777777777779,97.4533910533911,0.26927007840094563,0.2888889014720917
jamiecooke_5,Jamie Cooke,pentathlon,Male,9,2.0,0.6923076923076923,0.7777777777777778,50.72500000000001,0.24896945332612613,0.35555556416511536
danfox450,Dan Fox,hockey,Male,9,2.0,0.631578947368421,0.7083333333333334,16.592857142857145,0.2699162390928761,0.23333333432674408
rajivouseph,Rajiv Ouseph,badminton,Male,9,2.0,0.6923076923076923,0.7777777777777778,7.949999999999999,0.2579653164988238,0.4555555582046509
nick_thompo,Nick Thompson,sailing,Male,9,2.0,0.6923076923076923,0.7777777777777778,11.700000000000001,0.22213146907750927,0.5
archerynicky,Nicky Hunt,archery,Female,9,4.0,0.4117647058823529,0.523809523809524,213.53333333333327,0.18065555728618285,0.31111112236976624
scottishfencing,scottishfencing,fencing,Organization,9,3.0,0.5357142857142857,0.6333333333333334,149.97427849927846,0.2641222031614754,0.2222222238779068
marcus_bateman,Marcus Bateman,rowing,Male,9,3.0,0.6111111111111112,0.712121212121212,10.802380952380952,0.3541279673153339,0.3055555522441864
tiffofili,Tiffany Ofili,athletics,Female,9,7.0,0.2920353982300885,0.42431457431457437,775.9537372314949,0.12890900120854024,0.1111111119389534
vickilucass,Vicki Lucas,swimming-sync,Female,9,2.0,0.7272727272727273,0.8125,9.399999999999999,0.26381899575026996,0.42222222685813904
sarahclark_judo,Sarah Clark,judo,Female,9,13.0,0.13423959218351741,0.17500532168253674,228.35238095238094,0.327972205171275,0.4444444477558136
tennanto,Andy Tennant,cycling,Male,8,4.0,0.47619047619047616,0.5708333333333335,30.315476190476183,0.2821483270082688,0.25
teamwilliamsgbr,Guy Williams,equestrianism,Male,9,2.0,0.6470588235294118,0.7272727272727273,16.648809523809526,0.2484200071456141,0.3194444477558136
sophiejsays,Sophie Johnstone,judo,Female,9,13.0,0.13423959218351741,0.17500532168253674,294.20119047619033,0.3234251124753299,0.4583333432674408
engbasketball,engbasketball,basketball,Organization,9,3.0,0.6111111111111112,0.712121212121212,14.766666666666666,0.25415148863243564,0.3472222089767456
mstamper_tkd,Martin Stamper,taekwondo,Male,9,1.0,1.0,1.0,89.29175970228603,0.2766589684863802,0.375
annabentleygbr,Anna Bentley,fencing,Female,8,3.0,0.5769230769230769,0.6555555555555556,117.84188311688311,0.23041925398381444,0.2361111044883728
kassidycook1,Kassidy Cook,diving,Female,8,11.0,0.17990275526742303,0.25411547911547905,670.921853671854,0.11572660854295122,0.2888889014720917
davidboudia,David Boudia,diving,Male,8,10.0,0.19039451114922812,0.2613863863863863,560.3098917748918,0.1194349313980042,0.3035714328289032
phillipsidowu,Phillips Idowu,athletics,Male,8,6.0,0.28448275862068967,0.39444444444444426,1378.9744537626116,0.25410860108152217,0.21969696879386902
oliver_townend,Oliver Townend,equestrianism,Male,8,2.0,0.6470588235294118,0.7272727272727273,12.045238095238094,0.20652797460113406,0.3333333432674408
jennywallwork,Jenny Wallwork,badminton,Female,8,3.0,0.6428571428571429,0.7592592592592592,8.566666666666666,0.238301483167903,0.4285714328289032
craigfigesgbwp,Craig Figes,waterpolo,Male,8,3.0,0.4864864864864865,0.5833333333333333,51.22619047619047,0.12679537038585573,0.375
dominicmahony,Dominic Mahony,pentathlon,Male,8,3.0,0.6428571428571429,0.7592592592592592,38.205555555555556,0.2438164267348406,0.4642857015132904
h_richardson8,Helen Richardson-Walsh,hockey,Female,8,5.0,0.42857142857142855,0.6138888888888888,6.483333333333333,0.2394005367598916,0.3611111044883728
georgietwigg,Georgie Twigg,hockey,Female,8,3.0,0.5454545454545454,0.6666666666666666,50.58095238095238,0.28855757039238633,0.2916666567325592
jamesgoddard83,James Goddard,swimming,Male,8,6.0,0.3484848484848485,0.48260869565217385,39.11028138528138,0.25636774634330733,0.2222222238779068
dianalopez25,Diana Lopez,taekwondo,Female,8,9.0,0.18048780487804877,0.2365186615186614,192.83997493734336,0.16373140740073336,0.31111112236976624
worldrowing,worldrowing,rowing,Organization,8,3.0,0.5789473684210527,0.6969696969696969,6.126190476190477,0.22644217315697737,0.2916666567325592
gbrowingteam,gbrowingteam,rowing,Organization,8,2.0,0.6470588235294118,0.7272727272727273,14.364285714285714,0.24634243272232936,0.2777777910232544
andrew_pozzi,Andrew Pozzi,athletics,Male,8,6.0,0.33,0.4419191919191919,155.4551625440413,0.06895351693862056,0.16363635659217834
leemerrien,Lee Merrien,athletics,Male,8,6.0,0.3333333333333333,0.4368686868686868,129.86233766233767,0.12314295755384458,0.3055555522441864
470girls,Nguyen Ngọc Mai,sailing,Male,8,3.0,0.6428571428571429,0.7592592592592592,6.083333333333333,0.21314287254041833,0.5357142686843872
smarshall1991,Scott Marshall,boxing,Male,8,2.0,0.6470588235294118,0.7272727272727273,205.93333333333334,0.0827760322737211,0.23636363446712494
asharandall,Asha Randall,swimming-sync,Female,8,2.0,0.7272727272727273,0.8125,195.51681096681108,0.2777708964282253,0.3392857015132904
lauratrott31,Laura Trott,cycling,Female,8,5.0,0.43478260869565216,0.5475000000000001,58.790079365079364,0.24753661861038048,0.2222222238779068
chris_boardman,Chris Boardman,cycling,Male,7,3.0,0.5405405405405406,0.6083333333333334,135.21904761904761,0.18950460762962748,0.2083333283662796
joannejackson86,Joanne Jackson,swimming,Female,8,5.0,0.38333333333333336,0.5028985507246376,165.74206349206352,0.24030958841235242,0.25
britishdressage,britishdressage,equestrianism,Organization,8,3.0,0.6111111111111112,0.712121212121212,9.763095238095238,0.18946002458879804,0.31111112236976624
ashleymckenzi12,Ashley McKenzie,judo,Male,8,14.0,0.11933534743202417,0.1584734182835448,56.66666666666667,0.28433105608380815,0.375
stevenburke88,Steven Burke,cycling,Male,8,5.0,0.4166666666666667,0.535,11.221428571428572,0.28565758999851604,0.3035714328289032
judoscotland,judoscotland,judo,Organization,8,13.0,0.13423959218351741,0.17500532168253674,316.3178571428571,0.19506835498130198,0.36666667461395264
robyn_nicholls,Robyn Nicholls,waterpolo,Female,8,7.0,0.28125,0.4723544973544974,10.77142857142857,0.3002694271444771,0.5535714030265808
chrystalln,Chrystall Nicoll,fencing,Female,8,3.0,0.5357142857142857,0.6333333333333333,112.16338383838388,0.13436107712066192,0.2083333283662796
hannahkwhelan,Hannah Whelan,gymnastics,Female,8,8.0,0.2356020942408377,0.3394179894179893,173.66098426083718,0.22070134829658905,0.4107142984867096
juliepage10,Julie Page,basketball,Female,8,3.0,0.5789473684210527,0.6969696969696969,7.966666666666666,0.2086036858349947,0.4166666567325592
basketballscot,basketballscot,basketball,Organization,8,4.0,0.55,0.6893939393939393,6.711111111111111,0.23593551851688174,0.4583333432674408
clitherbot,helen clitheroe,athletics,Female,7,5.0,0.38372093023255816,0.4777777777777778,1065.0476190476188,0.13810150558092177,0.1666666716337204
serenawilliams,Serena Williams,tennis,Female,7,10.0,0.17735849056603772,0.2169064505234722,501.2606083712121,0.1328829185592093,0.3214285671710968
elenabaltacha,Elena Baltacha,tennis,Female,7,11.0,0.17980107115531752,0.22290120045439227,635.9796858546861,0.1489965511718746,0.3571428656578064
clijsterskim,Kim Clijsters,tennis,Female,7,11.0,0.18007662835249041,0.2241186945442268,263.10553389862514,0.12065696117692488,0.3611111044883728
moniquegladding,Monique Gladding,diving,Female,7,3.0,0.5142857142857142,0.6018518518518519,485.04299949299934,0.17003283617819387,0.25555557012557983
christinaloukas,Christina Loukas,diving,Female,7,10.0,0.19270833333333334,0.261078936078936,969.3344448344445,0.13459829083745875,0.4285714328289032
shakesdrayton,Perri Shakes-Drayton,athletics,Female,7,6.0,0.28448275862068967,0.3944444444444443,33.99682262182262,0.24921048580997268,0.20000000298023224
anniebarts,Annie Bartlett,gymnastics,Female,7,10.0,0.17509727626459143,0.28568783068783055,227.74369429590038,0.13892409839663164,0.261904776096344
jessicamayne_x,Jessica Mayne,badminton,Female,7,3.0,0.6428571428571429,0.7592592592592592,7.691666666666666,0.16108088719048133,0.4166666567325592
hannahmacleod6,Hannah Macleod,hockey,Female,7,3.0,0.6,0.6944444444444445,31.04177489177489,0.12732326449522205,0.2777777910232544
hayleigh_mason,Hayleigh Mason,canoeing,Female,7,2.0,0.631578947368421,0.7083333333333334,16.484126984126984,0.13852379486342156,0.2916666567325592
sophie_a_w,Sophie Williams,fencing,Female,7,3.0,0.5172413793103449,0.6222222222222222,78.22579365079366,0.188805406616944,0.2142857164144516
joeroebuck,Joe Roebuck,swimming,Male,7,5.0,0.3770491803278688,0.49927536231884057,104.64437229437229,0.3272345297343813,0.3055555522441864
antonyjamesfly,Antony James,swimming,Male,7,6.0,0.35384615384615387,0.48985507246376814,100.37142857142857,0.30682033673664844,0.3194444477558136
kerrileewalsh,Kerri Walsh Jennings,beach-volleyball,Female,7,9.0,0.19964028776978418,0.25510868010868,981.575748786352,0.17809826845226703,0.3095238208770752
stevenlopeztkd,Steven Lopez,taekwondo,Male,7,9.0,0.2007233273056058,0.2596846846846846,1208.5092734063319,0.16001253483435765,0.4523809552192688
shawnjohnson,Shawn Johnson,gymnastics,Female,7,9.0,0.21062618595825428,0.27399184899184886,1405.7651828872422,0.14373097937789486,0.3035714328289032
hannengland,Hannah England,athletics,Female,7,5.0,0.375,0.46666666666666673,207.33273948273967,0.14631815495408165,0.1805555522441864
shanazereade,Shanaze Reade,cycling,Female,7,3.0,0.4878048780487805,0.5750000000000001,52.913888888888884,0.1763668311117226,0.1785714328289032
jessvarnish,Jess Varnish,cycling,Female,7,3.0,0.47619047619047616,0.5666666666666667,27.628968253968253,0.16260419913844656,0.3214285671710968
iainpercy,Iain Percy,sailing,Male,7,3.0,0.6428571428571429,0.7592592592592592,3.2833333333333328,0.19947854563948006,0.5714285969734192
scottycardle,Scott Cardle,boxing,Male,7,3.0,0.5789473684210527,0.6969696969696969,11.233333333333334,0.37028851140188873,0.5178571343421936
luke11campbell,Luke Campbell,boxing,Male,7,2.0,0.6470588235294118,0.7272727272727273,11.933333333333334,0.12014990901755127,0.3194444477558136
gamal_yafai,Gamal Yafai,boxing,Male,7,4.0,0.4583333333333333,0.6363636363636362,4.666666666666666,0.2592270459709809,0.3888888955116272
synchroks,katie skelton,swimming-sync,Female,7,2.0,0.7272727272727273,0.8125,47.31854256854255,0.28904507988058603,0.6190476417541504
aliciablagg,Alicia Blagg,diving,Female,7,4.0,0.45,0.5648148148148148,36.01645021645021,0.1945259735988385,0.3214285671710968
britshowjumping,britshowjumping,equestrianism,Organization,7,3.0,0.6111111111111112,0.712121212121212,5.892857142857142,0.24647454028821045,0.4464285671710968
teamgbr,teamgbr,equestrianism,Organization,7,2.0,0.6470588235294118,0.7272727272727273,13.19404761904762,0.21736248522464227,0.3571428656578064
hesterdressage,Carl Hester,equestrianism,Male,7,3.0,0.6111111111111112,0.712121212121212,7.982142857142857,0.21165756451584058,0.3928571343421936
cameronnicholgb,Cameron Nichol,rowing,Male,7,3.0,0.5789473684210527,0.6969696969696969,6.7523809523809515,0.2711072925673092,0.3214285671710968
sible2109,Kelly Sibley OLY,tabletennis,Female,7,8.0,0.24621212121212122,0.3335897435897435,73.69047619047619,0.1151934102750836,0.3928571343421936
yvettebaker91,Yvette Baker,swimming-sync,Female,7,2.0,0.7272727272727273,0.8125,24.58427128427127,0.2493714001548311,0.523809552192688
rachvanderwal,Rachael Vanderwal,basketball,Female,7,3.0,0.6111111111111112,0.712121212121212,24.32777777777778,0.18116423501193538,0.4107142984867096
petekennaugh,Pete Kennaugh,cycling,Male,7,5.0,0.43478260869565216,0.5475,27.58293650793651,0.23578200250635867,0.2857142984867096
biancaw_tkd,Bianca Walkden,taekwondo,Female,7,1.0,1.0,1.0,114.88157894736844,0.24553883649071345,0.5714285969734192
jadejonestkd,Jade Jones,taekwondo,Female,7,1.0,1.0,1.0,9.7,0.22722491728300562,0.5714285969734192
teamgbtaekwondo,teamgbtaekwondo,taekwondo,Organization,7,1.0,1.0,1.0,41.30696438064858,0.2543122326295331,0.5476190447807312
paulajradcliffe,Paula Radcliffe,athletics,Female,6,5.0,0.39285714285714285,0.48434343434343435,222.75515778399068,0.10184880504072223,0.1111111119389534
louisejukes,Louise Jukes,handball,Female,6,2.0,0.7777777777777778,0.8571428571428571,5.500000000000001,0.26921687880426465,0.6190476417541504
robbierenwick,Robbie Renwick,swimming,Male,6,5.0,0.41818181818181815,0.5268115942028986,346.2239177489176,0.05649466606178868,0.1805555522441864
cbennettgbr,Chloe Bennett,fencing,Female,6,3.0,0.5172413793103449,0.6222222222222222,185.1258658008658,0.20493603451514025,0.3472222089767456
katherinekempe,Katherine Kempe,fencing,Female,6,2.0,0.6,0.6666666666666666,91.4603896103896,0.1220039690790263,0.2777777910232544
jesseddie,Jess Eddie,rowing,Female,6,2.0,0.6470588235294118,0.7272727272727273,5.707936507936507,0.09922775617599383,0.2638888955116272
2012parters,Alex Partridge,rowing,Male,6,2.0,0.6470588235294118,0.7272727272727273,10.95,0.19773973516557344,0.3333333432674408
mhairispence,Mhairi Spence,pentathlon,Female,6,3.0,0.6428571428571429,0.7592592592592592,186.68055555555554,0.21230466974532664,0.46666666865348816
shuvolleygb,shauna mullin,beach-volleyball,Female,6,4.0,0.4262295081967213,0.5160256410256412,201.78333333333333,0.11796041036883413,0.380952388048172
kt_burke,Kate Burke,pentathlon,Female,6,2.0,0.6923076923076923,0.7777777777777778,40.88888888888889,0.188243125833428,0.4761904776096344
katylivo,Katy Livingston,pentathlon,Female,6,2.0,0.6923076923076923,0.7777777777777778,39.88333333333333,0.15181230112922983,0.3392857015132904
harry_meade,Harry Meade,equestrianism,Male,6,3.0,0.6111111111111112,0.712121212121212,9.825,0.15341371743561322,0.3472222089767456
thebenfarrell,Ben Farrell,canoeing,Male,6,3.0,0.5217391304347826,0.6527777777777778,9.104761904761904,0.26761676205939317,0.5333333611488342
joregan91,Joanne O’Regan,waterpolo,Female,6,4.0,0.45,0.5601851851851852,16.892857142857142,0.11679962756851667,0.5666666626930237
queenmond,queenmond,swimming,Female,6,6.0,0.359375,0.498550724637681,178.68214285714282,0.0655170143460687,0.3055555522441864
bgmediateam,British Gymnastics (alt),gymnastics,Organization,6,9.0,0.20270270270270271,0.31234567901234556,66.5785097255686,0.19795660681898714,0.5
archeryalison,Alison Williamson,archery,Female,6,5.0,0.3181818181818182,0.4507936507936507,2.45,0.1609850387041472,0.7666666507720947
archeryburgess,Charlotte Burgess,archery,Female,6,5.0,0.3181818181818182,0.4507936507936507,2.45,0.1609850387041472,0.7666666507720947
2012amy,Amy Oliver,archery,Female,6,5.0,0.3181818181818182,0.4507936507936507,2.45,0.1609850387041472,0.7666666507720947
rogerschloe12,Chloe Rogers,hockey,Female,6,4.0,0.48,0.6388888888888888,4.308008658008658,0.2677339859229788,0.523809552192688
edmckeever,Ed McKeever,canoeing,Male,6,3.0,0.6,0.6944444444444443,12.33888888888889,0.08891593795900511,0.3214285671710968
rachelcawthorn,Rachel Cawthorn,canoeing,Female,6,3.0,0.6,0.6944444444444443,11.381746031746031,0.09238645354550432,0.261904776096344
liz_blatchford,Liz Blatchford,triathlon,Female,6,2.0,0.8571428571428571,0.9166666666666666,4.2,0.16830171312459674,0.800000011920929
vixholland,Vicky Holland,triathlon,Female,6,2.0,0.8571428571428571,0.9166666666666666,4.2,0.16830171312459674,0.800000011920929
jodieswallow,Jodie Swallow,triathlon,Female,6,2.0,0.8571428571428571,0.9166666666666666,1.2,0.16830171312459674,0.800000011920929
walkerhebborn,Chris Walker-Hebborn,swimming,Male,6,6.0,0.3770491803278688,0.5065217391304347,178.53214285714287,0.15864697698184052,0.3928571343421936
britishrowing,britishrowing,rowing,Organization,6,3.0,0.5789473684210527,0.6969696969696969,4.755555555555555,0.1694790175958391,0.3392857015132904
vballengland,vballengland,beach-volleyball,Organization,6,6.0,0.34210526315789475,0.4653846153846154,313.06904761904764,0.1320655227962908,0.3333333432674408
euan_burton,Euan Burton,judo,Male,6,13.0,0.13423959218351741,0.17500532168253674,826.5498625248625,0.24342474403504677,0.380952388048172
britishjudo,britishjudo,judo,Organization,6,12.0,0.15369649805447472,0.19967966281257413,2151.3201006201,0.2224615087747196,0.36666667461395264
liampitchford,Liam Pitchford,tabletennis,Male,6,9.0,0.20967741935483872,0.2984554334554334,30.95238095238095,0.09726267854515738,0.3571428656578064
djbeachvolley,Jake Sheaf,beach-volleyball,Male,6,5.0,0.38235294117647056,0.48205128205128206,68.49761904761904,0.12016444227152015,0.5714285969734192
lucy_boulton,Lucy Boulton,beach-volleyball,Female,6,5.0,0.3561643835616438,0.4576923076923076,37.45,0.1317747177349536,0.6666666865348816
mariana251,Mariana Agathangelou,badminton,Female,6,3.0,0.6428571428571429,0.7592592592592592,5.949999999999999,0.10648186308128894,0.3611111044883728
tashajonas,Tasha Jonas,boxing,Female,6,2.0,0.6470588235294118,0.7272727272727273,67.98333333333333,0.11916370363586468,0.3571428656578064
pdrinkhall,Paul Drinkhall,tabletennis,Male,6,8.0,0.24621212121212122,0.3348717948717948,79.42765246449457,0.11345659977151777,0.4523809552192688
britishtennis,britishtennis,tennis,Organization,6,12.0,0.17966360856269112,0.23520294126677152,620.4546070103751,0.114583187443507,0.1944444477558136
gbbasketball,Gbbasketball,basketball,Organization,6,4.0,0.55,0.6893939393939393,6.944444444444444,0.1874097041158777,0.4761904776096344
sarahdstevenson,Sarah Stevenson,taekwondo,Female,6,1.0,1.0,1.0,0.2,0.22548810677943962,0.800000011920929
gr1zzotkd,Tony Grisman,taekwondo,Male,6,1.0,1.0,1.0,0.2,0.22548810677943965,0.800000011920929
jopavey,Jo Pavey,athletics,Female,5,5.0,0.36666666666666664,0.4601010101010101,480.9890698736801,0.08501057841883787,0.2666666805744171
hallisseyc,Helen Clitheroe,athletics,Female,5,5.0,0.3707865168539326,0.46414141414141413,210.61666666666667,0.07290628079264024,0.2666666805744171
venuseswilliams,Venus Williams,tennis,Female,5,10.0,0.18518518518518517,0.2263373860182375,368.7074813357321,0.0901997770451332,0.3571428656578064
laurainnes1989,Laura Innes,handball,Female,5,2.0,0.7777777777777778,0.8571428571428571,8.966666666666667,0.1411123588752589,0.4642857015132904
feemc1987,Fiona McCann,waterpolo,Female,5,7.0,0.28125,0.4723544973544974,5.438095238095237,0.14478413207268784,0.4821428656578064
usadiving,usadiving,diving,Organization,5,11.0,0.17591125198098256,0.24300436800436787,436.094543894544,0.09760456792449611,0.3333333432674408
louissmith1989,Louis Smith,gymnastics,Male,5,7.0,0.27439024390243905,0.377089947089947,465.91105469693724,0.14256876415225272,0.190476194024086
dariusknight,Darius Knight,tabletennis,Male,5,7.0,0.2838427947598253,0.3628571428571428,445.07668380213136,0.09454926138798839,0.2321428507566452
lynnehutch94,Lynne Hutchison,gymnastics,Female,5,9.0,0.20361990950226244,0.31604938271604927,42.915155677655676,0.14929975527717246,0.5666666626930237
benmaher1,Ben Maher,equestrianism,Male,5,2.0,0.6470588235294118,0.7272727272727273,9.00952380952381,0.11053812237065863,0.4285714328289032
