Source,Target,Type,Id,Label,Weight
gael_monfils,tsonga7,Directed,74,,1
tsonga7,serenawilliams,Directed,75,,1
tsonga7,venuseswilliams,Directed,76,,1
tsonga7,stanwawrinka,Directed,77,,1
tsonga7,gael_monfils,Directed,78,,1
tsonga7,itfprocircuit,Directed,79,,1
usath,fudge89,Directed,80,,1
usath,britishhandball,Directed,81,,1
usath,johnnailspearce,Directed,82,,1
usath,hollyhandball3,Directed,83,,1
usath,laurainnes1989,Directed,84,,1
fudge89,christophermcd_,Directed,85,,1
fudge89,johnnailspearce,Directed,86,,1
fudge89,hollyhandball3,Directed,87,,1
fudge89,laurainnes1989,Directed,88,,1
fudge89,gbhandball_mh20,Directed,89,,1
lynn_gbhandball,fudge89,Directed,90,,1
lynn_gbhandball,christophermcd_,Directed,91,,1
lynn_gbhandball,johnnailspearce,Directed,92,,1
lynn_gbhandball,hollyhandball3,Directed,93,,1
lynn_gbhandball,bobby_white_12,Directed,94,,1
britishhandball,fudge89,Directed,95,,1
britishhandball,christophermcd_,Directed,96,,1
britishhandball,johnnailspearce,Directed,97,,1
britishhandball,louisejukes,Directed,98,,1
britishhandball,eha_official,Directed,99,,1
christophermcd_,fudge89,Directed,100,,1
christophermcd_,johnnailspearce,Directed,101,,1
christophermcd_,hollyhandball3,Directed,102,,1
christophermcd_,louisejukes,Directed,103,,1
christophermcd_,gbhandball_mh20,Directed,104,,1
johnnailspearce,fudge89,Directed,105,,1
johnnailspearce,christophermcd_,Directed,106,,1
johnnailspearce,hollyhandball3,Directed,107,,1
johnnailspearce,louisejukes,Directed,108,,1
johnnailspearce,gbhandball_mh20,Directed,109,,1
hollyhandball3,fudge89,Directed,110,,1
hollyhandball3,christophermcd_,Directed,111,,1
hollyhandball3,johnnailspearce,Directed,112,,1
hollyhandball3,louisejukes,Directed,113,,1
hollyhandball3,laurainnes1989,Directed,114,,1
louisejukes,fudge89,Directed,115,,1
louisejukes,christophermcd_,Directed,116,,1
louisejukes,johnnailspearce,Directed,117,,1
louisejukes,hollyhandball3,Directed,118,,1
louisejukes,gbhandball_mh20,Directed,119,,1
laurainnes1989,fudge89,Directed,120,,1
laurainnes1989,christophermcd_,Directed,121,,1
laurainnes1989,johnnailspearce,Directed,122,,1
laurainnes1989,hollyhandball3,Directed,123,,1
laurainnes1989,gbhandball_mh20,Directed,124,,1
gbhandball_mh20,fudge89,Directed,125,,1
gbhandball_mh20,christophermcd_,Directed,126,,1
gbhandball_mh20,johnnailspearce,Directed,127,,1
gbhandball_mh20,louisejukes,Directed,128,,1
gbhandball_mh20,ciaranwilliams,Directed,129,,1
gbrvolleyball,fudge89,Directed,130,,1
gbrvolleyball,hollyhandball3,Directed,131,,1
gbrvolleyball,laurainnes1989,Directed,132,,1
gbrvolleyball,shuvolleygb,Directed,133,,1
gbrvolleyball,djbeachvolley,Directed,134,,1
ciaranwilliams,fudge89,Directed,135,,1
ciaranwilliams,christophermcd_,Directed,136,,1
ciaranwilliams,hollyhandball3,Directed,137,,1
ciaranwilliams,louisejukes,Directed,138,,1
ciaranwilliams,gbhandball_mh20,Directed,139,,1
rgallantree,nickrb,Directed,140,,1
rgallantree,megandiver,Directed,141,,1
rgallantree,sarahbarrow,Directed,142,,1
rgallantree,powellstacie,Directed,143,,1
rgallantree,aliciablagg,Directed,144,,1
nickrb,rgallantree,Directed,145,,1
nickrb,moniquegladding,Directed,146,,1
nickrb,asharandall,Directed,147,,1
nickrb,katiec_23,Directed,148,,1
nickrb,sarahbarrow,Directed,149,,1
megandiver,rgallantree,Directed,150,,1
megandiver,nickrb,Directed,151,,1
megandiver,toniacouch,Directed,152,,1
megandiver,sarahbarrow,Directed,153,,1
megandiver,powellstacie,Directed,154,,1
moniquegladding,nickrb,Directed,155,,1
moniquegladding,toniacouch,Directed,156,,1
moniquegladding,asharandall,Directed,157,,1
moniquegladding,katiec_23,Directed,158,,1
moniquegladding,sarahbarrow,Directed,159,,1
toniacouch,nickrb,Directed,160,,1
toniacouch,sarahbarrow,Directed,161,,1
toniacouch,powellstacie,Directed,162,,1
toniacouch,aliciablagg,Directed,163,,1
toniacouch,jacklaugher,Directed,164,,1
jwariner,tysonlgay,Directed,165,,1
jwariner,tashadanvers,Directed,166,,1
jwariner,tiffofili,Directed,167,,1
jwariner,uka_athletics,Directed,168,,1
jwariner,williamsharman,Directed,169,,1
tysonlgay,tashadanvers,Directed,170,,1
tysonlgay,shakesdrayton,Directed,171,,1
tysonlgay,iaaforg,Directed,172,,1
tysonlgay,airlewis,Directed,173,,1
tysonlgay,martynrooney,Directed,174,,1
aiba_boxing,abaengland,Directed,175,,1
aiba_boxing,cedwardsboxing,Directed,176,,1
aiba_boxing,iam_yafai,Directed,177,,1
aiba_boxing,gbboxing,Directed,178,,1
aiba_boxing,thomasstalker1,Directed,179,,1
abaengland,cedwardsboxing,Directed,180,,1
abaengland,warrenbaister,Directed,181,,1
abaengland,danny_price,Directed,182,,1
abaengland,gbboxing,Directed,183,,1
abaengland,callumsmith23,Directed,184,,1
wsb_boxing,abaengland,Directed,185,,1
wsb_boxing,danny_price,Directed,186,,1
wsb_boxing,luke11campbell,Directed,187,,1
wsb_boxing,gamal_yafai,Directed,188,,1
wsb_boxing,thomasstalker1,Directed,189,,1
perryrockeed,abaengland,Directed,190,,1
perryrockeed,cedwardsboxing,Directed,191,,1
perryrockeed,warrenbaister,Directed,192,,1
perryrockeed,danny_price,Directed,193,,1
perryrockeed,gamal_yafai,Directed,194,,1
dingsy_1,abaengland,Directed,195,,1
dingsy_1,scottycardle,Directed,196,,1
dingsy_1,warrenbaister,Directed,197,,1
dingsy_1,smarshall1991,Directed,198,,1
dingsy_1,callumsmith23,Directed,199,,1
mikebourne2,feemc1987,Directed,200,,1
mikebourne2,chloewilcox86,Directed,201,,1
mikebourne2,craigfigesgbwp,Directed,202,,1
mikebourne2,joregan91,Directed,203,,1
mikebourne2,gbmenswaterpolo,Directed,204,,1
feemc1987,chloewilcox86,Directed,205,,1
feemc1987,angiewsmith10,Directed,206,,1
feemc1987,robyn_nicholls,Directed,207,,1
feemc1987,vicbowen,Directed,208,,1
feemc1987,rosiemorris86,Directed,209,,1
rdrabswaterpolo,feemc1987,Directed,210,,1
rdrabswaterpolo,chloewilcox86,Directed,211,,1
rdrabswaterpolo,angiewsmith10,Directed,212,,1
rdrabswaterpolo,robyn_nicholls,Directed,213,,1
rdrabswaterpolo,vicbowen,Directed,214,,1
gb_wpolo_girls,feemc1987,Directed,215,,1
gb_wpolo_girls,chloewilcox86,Directed,216,,1
gb_wpolo_girls,angiewsmith10,Directed,217,,1
gb_wpolo_girls,gbmenswaterpolo,Directed,218,,1
gb_wpolo_girls,vicbowen,Directed,219,,1
chloewilcox86,feemc1987,Directed,220,,1
chloewilcox86,angiewsmith10,Directed,221,,1
chloewilcox86,robyn_nicholls,Directed,222,,1
chloewilcox86,vicbowen,Directed,223,,1
chloewilcox86,rosiemorris86,Directed,224,,1
angiewsmith10,feemc1987,Directed,225,,1
angiewsmith10,chloewilcox86,Directed,226,,1
angiewsmith10,robyn_nicholls,Directed,227,,1
angiewsmith10,vicbowen,Directed,228,,1
angiewsmith10,francescasnell,Directed,229,,1
beckadlington,mj88live,Directed,230,,1
beckadlington,liamtancock,Directed,231,,1
beckadlington,franhalsall,Directed,232,,1
beckadlington,queenmond,Directed,233,,1
beckadlington,swimmerross,Directed,234,,1
mj88live,andrewswillis,Directed,235,,1
mj88live,robbierenwick,Directed,236,,1
mj88live,daniel_fogg,Directed,237,,1
mj88live,walkerhebborn,Directed,238,,1
mj88live,roberto_pavoni,Directed,239,,1
andrewswillis,mj88live,Directed,240,,1
andrewswillis,gemmaspofforth,Directed,241,,1
andrewswillis,siobhanmoconnor,Directed,242,,1
andrewswillis,walkerhebborn,Directed,243,,1
andrewswillis,roberto_pavoni,Directed,244,,1
robbierenwick,mj88live,Directed,245,,1
robbierenwick,mrgrantturner,Directed,246,,1
robbierenwick,hannahmiley89,Directed,247,,1
robbierenwick,daniel_fogg,Directed,248,,1
robbierenwick,adambrownswim,Directed,249,,1
michaelphelps,mj88live,Directed,250,,1
michaelphelps,davidboudia,Directed,251,,1
michaelphelps,dianalopez25,Directed,252,,1
michaelphelps,shawnjohnson,Directed,253,,1
michaelphelps,jordyn_wieber,Directed,254,,1
cbennettgbr,fencingmary,Directed,255,,1
cbennettgbr,britishfencing,Directed,256,,1
cbennettgbr,jthorntongbr,Directed,257,,1
cbennettgbr,laurencehalsted,Directed,258,,1
cbennettgbr,scottishfencing,Directed,259,,1
fencingmary,fie_en,Directed,260,,1
fencingmary,jthorntongbr,Directed,261,,1
fencingmary,hannahelawrence,Directed,262,,1
fencingmary,laurencehalsted,Directed,263,,1
fencingmary,annabentleygbr,Directed,264,,1
britishfencing,cbennettgbr,Directed,265,,1
britishfencing,fencingmary,Directed,266,,1
britishfencing,jthorntongbr,Directed,267,,1
britishfencing,scottishfencing,Directed,268,,1
britishfencing,chrystalln,Directed,269,,1
louisehelyer,fencingmary,Directed,270,,1
louisehelyer,kt_burke,Directed,271,,1
louisehelyer,jamiecooke_5,Directed,272,,1
louisehelyer,dominicmahony,Directed,273,,1
louisehelyer,natalyacoyle,Directed,274,,1
fie_en,fencingmary,Directed,275,,1
fie_en,katherinekempe,Directed,276,,1
fie_en,daniel_mingbok,Directed,277,,1
fie_en,laurencehalsted,Directed,278,,1
fie_en,scottishfencing,Directed,279,,1
katherinekempe,fencingmary,Directed,280,,1
katherinekempe,jthorntongbr,Directed,281,,1
katherinekempe,sophie_a_w,Directed,282,,1
katherinekempe,scottishfencing,Directed,283,,1
katherinekempe,chrystalln,Directed,284,,1
jthorntongbr,fencingmary,Directed,285,,1
jthorntongbr,britishfencing,Directed,286,,1
jthorntongbr,hannahelawrence,Directed,287,,1
jthorntongbr,annabentleygbr,Directed,288,,1
jthorntongbr,scottishfencing,Directed,289,,1
alextofalides,fencingmary,Directed,290,,1
alextofalides,jthorntongbr,Directed,291,,1
alextofalides,tom_mottershead,Directed,292,,1
alextofalides,annabentleygbr,Directed,293,,1
alextofalides,chrystalln,Directed,294,,1
hannahelawrence,fencingmary,Directed,295,,1
hannahelawrence,britishfencing,Directed,296,,1
hannahelawrence,jthorntongbr,Directed,297,,1
hannahelawrence,laurencehalsted,Directed,298,,1
hannahelawrence,sophie_a_w,Directed,299,,1
daniel_mingbok,fencingmary,Directed,300,,1
daniel_mingbok,fie_en,Directed,301,,1
daniel_mingbok,jthorntongbr,Directed,302,,1
daniel_mingbok,scottishfencing,Directed,303,,1
daniel_mingbok,kizzleroberts,Directed,304,,1
chrishay2011,fencingmary,Directed,305,,1
chrishay2011,katylivo,Directed,306,,1
chrishay2011,jamiecooke_5,Directed,307,,1
chrishay2011,lisafencing,Directed,308,,1
chrishay2011,scottishfencing,Directed,309,,1
tom_mottershead,fencingmary,Directed,310,,1
tom_mottershead,jthorntongbr,Directed,311,,1
tom_mottershead,hannahelawrence,Directed,312,,1
tom_mottershead,laurencehalsted,Directed,313,,1
tom_mottershead,chrystalln,Directed,314,,1
laurencehalsted,fencingmary,Directed,315,,1
laurencehalsted,jthorntongbr,Directed,316,,1
laurencehalsted,hannahelawrence,Directed,317,,1
laurencehalsted,sophie_a_w,Directed,318,,1
laurencehalsted,scottishfencing,Directed,319,,1
annabentleygbr,cbennettgbr,Directed,320,,1
annabentleygbr,fencingmary,Directed,321,,1
annabentleygbr,jthorntongbr,Directed,322,,1
annabentleygbr,sophie_a_w,Directed,323,,1
annabentleygbr,chrystalln,Directed,324,,1
watkinsteamgb,jesseddie,Directed,325,,1
watkinsteamgb,hes888,Directed,326,,1
watkinsteamgb,marcus_bateman,Directed,327,,1
watkinsteamgb,nrod2012,Directed,328,,1
watkinsteamgb,markhuntergb,Directed,329,,1
jesseddie,watkinsteamgb,Directed,330,,1
jesseddie,2012parters,Directed,331,,1
jesseddie,andrewthodge,Directed,332,,1
jesseddie,nrod2012,Directed,333,,1
jesseddie,cameronnicholgb,Directed,334,,1
chris_bartleygb,watkinsteamgb,Directed,335,,1
chris_bartleygb,jesseddie,Directed,336,,1
chris_bartleygb,nrod2012,Directed,337,,1
chris_bartleygb,markhuntergb,Directed,338,,1
chris_bartleygb,cameronnicholgb,Directed,339,,1
zacpurchase,jesseddie,Directed,340,,1
zacpurchase,2012parters,Directed,341,,1
zacpurchase,gbrowingteam,Directed,342,,1
zacpurchase,andrewthodge,Directed,343,,1
zacpurchase,markhuntergb,Directed,344,,1
imogenwalsh,watkinsteamgb,Directed,345,,1
imogenwalsh,jesseddie,Directed,346,,1
imogenwalsh,marcus_bateman,Directed,347,,1
imogenwalsh,andrewthodge,Directed,348,,1
imogenwalsh,markhuntergb,Directed,349,,1
2012parters,watkinsteamgb,Directed,350,,1
2012parters,jesseddie,Directed,351,,1
2012parters,marcus_bateman,Directed,352,,1
2012parters,andrewthodge,Directed,353,,1
2012parters,markhuntergb,Directed,354,,1
jamescracknell,watkinsteamgb,Directed,355,,1
jamescracknell,jesseddie,Directed,356,,1
jamescracknell,marcus_bateman,Directed,357,,1
jamescracknell,nrod2012,Directed,358,,1
jamescracknell,markhuntergb,Directed,359,,1
usashooting,usadiving,Directed,360,,1
usashooting,jenmac600,Directed,361,,1
usashooting,usajudo,Directed,362,,1
usashooting,usfencing,Directed,363,,1
usashooting,nwilson79pistol,Directed,364,,1
usadiving,kassidycook1,Directed,365,,1
usadiving,marielzagunis,Directed,366,,1
usadiving,christinaloukas,Directed,367,,1
usadiving,davidboudia,Directed,368,,1
usadiving,matthew_mitcham,Directed,369,,1
kassidycook1,usadiving,Directed,370,,1
kassidycook1,christinaloukas,Directed,371,,1
kassidycook1,davidboudia,Directed,372,,1
kassidycook1,sarahbarrow,Directed,373,,1
kassidycook1,powellstacie,Directed,374,,1
marielzagunis,usadiving,Directed,375,,1
marielzagunis,kassidycook1,Directed,376,,1
marielzagunis,christinaloukas,Directed,377,,1
marielzagunis,davidboudia,Directed,378,,1
marielzagunis,shawnjohnson,Directed,379,,1
christinaloukas,usadiving,Directed,380,,1
christinaloukas,kassidycook1,Directed,381,,1
christinaloukas,davidboudia,Directed,382,,1
christinaloukas,shawnjohnson,Directed,383,,1
christinaloukas,adfleshner,Directed,384,,1
davidboudia,usadiving,Directed,385,,1
davidboudia,kassidycook1,Directed,386,,1
davidboudia,christinaloukas,Directed,387,,1
davidboudia,usagym,Directed,388,,1
davidboudia,adfleshner,Directed,389,,1
nickwoodbridge,mhairispence,Directed,390,,1
nickwoodbridge,kt_burke,Directed,391,,1
nickwoodbridge,katylivo,Directed,392,,1
nickwoodbridge,jamiecooke_5,Directed,393,,1
nickwoodbridge,dominicmahony,Directed,394,,1
mhairispence,nickwoodbridge,Directed,395,,1
mhairispence,heatherfellnews,Directed,396,,1
mhairispence,kt_burke,Directed,397,,1
mhairispence,katylivo,Directed,398,,1
mhairispence,jamiecooke_5,Directed,399,,1
shuvolleygb,gbrvolleyball,Directed,400,,1
shuvolleygb,mhairispence,Directed,401,,1
shuvolleygb,greggweaver062,Directed,402,,1
shuvolleygb,zara_dampney,Directed,403,,1
shuvolleygb,lucy_boulton,Directed,404,,1
heatherfellnews,nickwoodbridge,Directed,405,,1
heatherfellnews,mhairispence,Directed,406,,1
heatherfellnews,kt_burke,Directed,407,,1
heatherfellnews,katylivo,Directed,408,,1
heatherfellnews,jamiecooke_5,Directed,409,,1
kt_burke,nickwoodbridge,Directed,410,,1
kt_burke,mhairispence,Directed,411,,1
kt_burke,jamiecooke_5,Directed,412,,1
kt_burke,dominicmahony,Directed,413,,1
kt_burke,natalyacoyle,Directed,414,,1
katylivo,nickwoodbridge,Directed,415,,1
katylivo,mhairispence,Directed,416,,1
katylivo,heatherfellnews,Directed,417,,1
katylivo,jamiecooke_5,Directed,418,,1
katylivo,dominicmahony,Directed,419,,1
jamiecooke_5,nickwoodbridge,Directed,420,,1
jamiecooke_5,mhairispence,Directed,421,,1
jamiecooke_5,kt_burke,Directed,422,,1
jamiecooke_5,dominicmahony,Directed,423,,1
jamiecooke_5,pentathlongb,Directed,424,,1
lauraunsworth4,natalieseymour9,Directed,425,,1
lauraunsworth4,sallywalton23,Directed,426,,1
lauraunsworth4,katewalsh11,Directed,427,,1
lauraunsworth4,hannahmacleod6,Directed,428,,1
lauraunsworth4,samanthaquek,Directed,429,,1
natalieseymour9,cristacullen5,Directed,430,,1
natalieseymour9,katewalsh11,Directed,431,,1
natalieseymour9,hannahmacleod6,Directed,432,,1
natalieseymour9,abiwalker24,Directed,433,,1
natalieseymour9,samanthaquek,Directed,434,,1
cristacullen5,natalieseymour9,Directed,435,,1
cristacullen5,h_richardson8,Directed,436,,1
cristacullen5,georgietwigg,Directed,437,,1
cristacullen5,ashleigh_ball22,Directed,438,,1
cristacullen5,anniepanter,Directed,439,,1
tashadanvers,phillipsidowu,Directed,440,,1
tashadanvers,shakesdrayton,Directed,441,,1
tashadanvers,kellysotherton,Directed,442,,1
tashadanvers,andyturner110h,Directed,443,,1
tashadanvers,martynrooney,Directed,444,,1
phillipsidowu,daigreene,Directed,445,,1
phillipsidowu,andyturner110h,Directed,446,,1
phillipsidowu,katedennison,Directed,447,,1
phillipsidowu,gregjrutherford,Directed,448,,1
phillipsidowu,martynrooney,Directed,449,,1
christianm200,phillipsidowu,Directed,450,,1
christianm200,daigreene,Directed,451,,1
christianm200,andrew_pozzi,Directed,452,,1
christianm200,jodiealicia27,Directed,453,,1
christianm200,andyturner110h,Directed,454,,1
daigreene,phillipsidowu,Directed,455,,1
daigreene,airlewis,Directed,456,,1
daigreene,andyturner110h,Directed,457,,1
daigreene,katedennison,Directed,458,,1
daigreene,martynrooney,Directed,459,,1
goldiesayers,phillipsidowu,Directed,460,,1
goldiesayers,daigreene,Directed,461,,1
goldiesayers,airlewis,Directed,462,,1
goldiesayers,katedennison,Directed,463,,1
goldiesayers,martynrooney,Directed,464,,1
louissmith1989,phillipsidowu,Directed,465,,1
louissmith1989,gregjrutherford,Directed,466,,1
louissmith1989,bethtweddlenews,Directed,467,,1
louissmith1989,jempin515,Directed,468,,1
louissmith1989,hannahkwhelan,Directed,469,,1
allysonfelix,phillipsidowu,Directed,470,,1
allysonfelix,kerrileewalsh,Directed,471,,1
allysonfelix,dianalopez25,Directed,472,,1
allysonfelix,stevenlopeztkd,Directed,473,,1
allysonfelix,shawnjohnson,Directed,474,,1
shakesdrayton,phillipsidowu,Directed,475,,1
shakesdrayton,daigreene,Directed,476,,1
shakesdrayton,airlewis,Directed,477,,1
shakesdrayton,gregjrutherford,Directed,478,,1
shakesdrayton,martynrooney,Directed,479,,1
dariusknight,phillipsidowu,Directed,480,,1
dariusknight,louissmith1989,Directed,481,,1
dariusknight,andyturner110h,Directed,482,,1
dariusknight,sible2109,Directed,483,,1
dariusknight,pdrinkhall,Directed,484,,1
rspringham15,danfox450,Directed,485,,1
rspringham15,jontyclarke,Directed,486,,1
rspringham15,iainlewers,Directed,487,,1
rspringham15,adamdixon16,Directed,488,,1
rspringham15,abrogdon11,Directed,489,,1
danfox450,rob13moore,Directed,490,,1
danfox450,jontyclarke,Directed,491,,1
danfox450,gcp01,Directed,492,,1
danfox450,jfair25,Directed,493,,1
danfox450,iainlewers,Directed,494,,1
rob13moore,danfox450,Directed,495,,1
rob13moore,jontyclarke,Directed,496,,1
rob13moore,aliwilson17,Directed,497,,1
rob13moore,iainlewers,Directed,498,,1
rob13moore,benhawes14,Directed,499,,1
jontyclarke,danfox450,Directed,500,,1
jontyclarke,rob13moore,Directed,501,,1
jontyclarke,gcp01,Directed,502,,1
jontyclarke,markpearn3,Directed,503,,1
jontyclarke,jimmyt20,Directed,504,,1
richm6,danfox450,Directed,505,,1
richm6,jfair25,Directed,506,,1
richm6,iainlewers,Directed,507,,1
richm6,adamdixon16,Directed,508,,1
richm6,ashleyjackson7,Directed,509,,1
niallstott16,danfox450,Directed,510,,1
niallstott16,richm6,Directed,511,,1
niallstott16,jfair25,Directed,512,,1
niallstott16,abrogdon11,Directed,513,,1
niallstott16,menshockey2012,Directed,514,,1
gcp01,danfox450,Directed,515,,1
gcp01,rob13moore,Directed,516,,1
gcp01,jfair25,Directed,517,,1
gcp01,aliwilson17,Directed,518,,1
gcp01,adamdixon16,Directed,519,,1
englandhockey,danfox450,Directed,520,,1
englandhockey,richm6,Directed,521,,1
englandhockey,andyhalliday3,Directed,522,,1
englandhockey,georgietwigg,Directed,523,,1
englandhockey,menshockey2012,Directed,524,,1
andyhalliday3,danfox450,Directed,525,,1
andyhalliday3,rob13moore,Directed,526,,1
andyhalliday3,jontyclarke,Directed,527,,1
andyhalliday3,iainlewers,Directed,528,,1
andyhalliday3,adamdixon16,Directed,529,,1
jfair25,danfox450,Directed,530,,1
jfair25,rob13moore,Directed,531,,1
jfair25,aliwilson17,Directed,532,,1
jfair25,iainlewers,Directed,533,,1
jfair25,adamdixon16,Directed,534,,1
matthew_mitcham,toniacouch,Directed,535,,1
matthew_mitcham,kassidycook1,Directed,536,,1
matthew_mitcham,sarahbarrow,Directed,537,,1
matthew_mitcham,powellstacie,Directed,538,,1
matthew_mitcham,aliciablagg,Directed,539,,1
lynnehutch94,jadefaulkner,Directed,540,,1
lynnehutch94,anniebarts,Directed,541,,1
lynnehutch94,gymnast_rachel,Directed,542,,1
lynnehutch94,danusiafrancis,Directed,543,,1
lynnehutch94,jempin515,Directed,544,,1
anniebarts,jadefaulkner,Directed,545,,1
anniebarts,lynnehutch94,Directed,546,,1
anniebarts,gymnast_rachel,Directed,547,,1
anniebarts,bgmediateam,Directed,548,,1
anniebarts,officialfig,Directed,549,,1
gymnast_rachel,jadefaulkner,Directed,550,,1
gymnast_rachel,lynnehutch94,Directed,551,,1
gymnast_rachel,anniebarts,Directed,552,,1
gymnast_rachel,danusiafrancis,Directed,553,,1
gymnast_rachel,jempin515,Directed,554,,1
oliver_townend,benmaher1,Directed,555,,1
oliver_townend,harry_meade,Directed,556,,1
oliver_townend,britshowjumping,Directed,557,,1
oliver_townend,teamgbr,Directed,558,,1
oliver_townend,teamwilliamsgbr,Directed,559,,1
benmaher1,oliver_townend,Directed,560,,1
benmaher1,will_whitaker,Directed,561,,1
benmaher1,britshowjumping,Directed,562,,1
benmaher1,hesterdressage,Directed,563,,1
benmaher1,teamwilliamsgbr,Directed,564,,1
iamtimstockdale,benmaher1,Directed,565,,1
iamtimstockdale,will_whitaker,Directed,566,,1
iamtimstockdale,britishdressage,Directed,567,,1
iamtimstockdale,skeltonnick,Directed,568,,1
iamtimstockdale,teamwilliamsgbr,Directed,569,,1
johnwhitakerint,oliver_townend,Directed,570,,1
johnwhitakerint,benmaher1,Directed,571,,1
johnwhitakerint,iamtimstockdale,Directed,572,,1
johnwhitakerint,will_whitaker,Directed,573,,1
johnwhitakerint,britishdressage,Directed,574,,1
will_whitaker,oliver_townend,Directed,575,,1
will_whitaker,benmaher1,Directed,576,,1
will_whitaker,iamtimstockdale,Directed,577,,1
will_whitaker,skeltonnick,Directed,578,,1
will_whitaker,teamwilliamsgbr,Directed,579,,1
harry_meade,oliver_townend,Directed,580,,1
harry_meade,benmaher1,Directed,581,,1
harry_meade,britshowjumping,Directed,582,,1
harry_meade,hesterdressage,Directed,583,,1
harry_meade,teamwilliamsgbr,Directed,584,,1
rajivouseph,chrisadcock1,Directed,585,,1
rajivouseph,gabbywhite011,Directed,586,,1
rajivouseph,jennywallwork,Directed,587,,1
rajivouseph,nath_robertson,Directed,588,,1
rajivouseph,mariana251,Directed,589,,1
chrisadcock1,rajivouseph,Directed,590,,1
chrisadcock1,gabbywhite011,Directed,591,,1
chrisadcock1,jennywallwork,Directed,592,,1
chrisadcock1,nath_robertson,Directed,593,,1
chrisadcock1,jessicamayne_x,Directed,594,,1
gabbywhite011,rajivouseph,Directed,595,,1
gabbywhite011,chrisadcock1,Directed,596,,1
gabbywhite011,jennywallwork,Directed,597,,1
gabbywhite011,nath_robertson,Directed,598,,1
gabbywhite011,badmlntonenglnd,Directed,599,,1
jennywallwork,rajivouseph,Directed,600,,1
jennywallwork,chrisadcock1,Directed,601,,1
jennywallwork,gabbywhite011,Directed,602,,1
jennywallwork,bwfmedia,Directed,603,,1
jennywallwork,badmlntonenglnd,Directed,604,,1
nath_robertson,chrisadcock1,Directed,605,,1
nath_robertson,gabbywhite011,Directed,606,,1
